Team,Player A,Player B,Correlation,Total Points A,Total Points B,pair_id,Correlation_2023,Total Points A_2023,Total Points B_2023
STL,Alexandre Texier,Philip Broberg,0.75,3,9,Alexandre Texier-Philip Broberg,,,
SEA,Joshua Mahura,Oliver Bjorkstrand,0.75,8,1,Joshua Mahura-Oliver Bjorkstrand,,,
STL,Jake Neighbours,Kasperi Kapanen,0.75,1,7,Jake Neighbours-Kasperi Kapanen,,,
ANA,Brett Leason,Brock McGinn,0.75,4,6,Brett Leason-Brock McGinn,,,
PHI,Bobby Brink,Noah Cates,0.75,8,2,Bobby Brink-Noah Cates,,,
NYI,Mathew Barzal,Noah Dobson,0.75,5,8,Mathew Barzal-Noah Dobson,0.47,80.0,70.0
NJD,Jonas Siegenthaler,Nathan Bastian,0.75,5,7,Jonas Siegenthaler-Nathan Bastian,0.09,12.0,9.0
VGK,Tomas Hertl,William Karlsson,0.75,15,9,Tomas Hertl-William Karlsson,-0.17,38.0,60.0
CBJ,Jake Christiansen,Mathieu Olivier,0.74,7,5,Jake Christiansen-Mathieu Olivier,,,
SEA,Jaden Schwartz,Jamie Oleksiak,0.74,10,5,Jaden Schwartz-Jamie Oleksiak,0.01,30.0,15.0
STL,Jordan Kyrou,Robert Thomas,0.74,15,6,Jordan Kyrou-Robert Thomas,0.48,86.0,67.0
EDM,Brett Kulak,Mattias Janmark,0.74,8,7,Brett Kulak-Mattias Janmark,,,
CBJ,Ivan Provorov,Justin Danforth,0.74,7,5,Ivan Provorov-Justin Danforth,0.21,26.0,32.0
VGK,Jack Eichel,Victor Olofsson,0.74,27,3,Jack Eichel-Victor Olofsson,,,
TOR,John Tavares,Max Pacioretty,0.74,6,17,John Tavares-Max Pacioretty,,,
CBJ,Dmitri Voronkov,Justin Danforth,0.74,7,3,Dmitri Voronkov-Justin Danforth,-0.1,26.0,34.0
DAL,Brendan Smith,Miro Heiskanen,0.74,6,3,Brendan Smith-Miro Heiskanen,,,
WPG,Adam Lowry,Nino Niederreiter,0.73,12,12,Adam Lowry-Nino Niederreiter,0.57,35.0,34.0
CBJ,Jake Christiansen,Zach Werenski,0.73,5,13,Jake Christiansen-Zach Werenski,,,
DET,Jonatan Berggren,Marco Kasper,0.73,3,3,Jonatan Berggren-Marco Kasper,,,
ANA,Jackson LaCombe,Ross Johnston,0.73,3,3,Jackson LaCombe-Ross Johnston,-0.02,4.0,17.0
WPG,Cole Perfetti,Vladislav Namestnikov,0.72,12,13,Cole Perfetti-Vladislav Namestnikov,0.06,37.0,38.0
FLA,Aleksander Barkov,Sam Reinhart,0.72,17,28,Aleksander Barkov-Sam Reinhart,0.6,80.0,94.0
ANA,Brian Dumoulin,Jackson LaCombe,0.72,5,3,Brian Dumoulin-Jackson LaCombe,,,
NYR,Braden Schneider,Kaapo Kakko,0.72,8,7,Braden Schneider-Kaapo Kakko,-0.13,19.0,19.0
PHI,Garnet Hathaway,Scott Laughton,0.72,7,7,Garnet Hathaway-Scott Laughton,0.04,17.0,39.0
EDM,Adam Henrique,Mattias Janmark,0.72,3,8,Adam Henrique-Mattias Janmark,,,
DET,Lucas Raymond,Moritz Seider,0.72,16,10,Lucas Raymond-Moritz Seider,0.28,72.0,42.0
SEA,Jamie Oleksiak,Oliver Bjorkstrand,0.72,8,5,Jamie Oleksiak-Oliver Bjorkstrand,0.34,59.0,15.0
ANA,Jackson LaCombe,Leo Carlsson,0.72,9,3,Jackson LaCombe-Leo Carlsson,0.19,29.0,17.0
STL,Alexandre Texier,Dylan Holloway,0.72,8,3,Alexandre Texier-Dylan Holloway,,,
SEA,Andre Burakovsky,Jordan Eberle,0.72,8,11,Andre Burakovsky-Jordan Eberle,0.16,16.0,44.0
OTT,Shane Pinto,Tim Stützle,0.72,3,21,Shane Pinto-Tim Stützle,-0.2,27.0,70.0
MTL,Jake Evans,Joel Armia,0.72,8,8,Jake Evans-Joel Armia,0.12,25.0,28.0
STL,Alexandre Texier,Justin Faulk,0.72,3,5,Alexandre Texier-Justin Faulk,,,
DET,Ben Chiarot,J.T. Compher,0.71,6,2,Ben Chiarot-J.T. Compher,-0.04,48.0,20.0
LAK,Kevin Fiala,Kyle Burroughs,0.71,12,1,Kevin Fiala-Kyle Burroughs,,,
CGY,Anthony Mantha,Martin Pospisil,0.71,7,5,Anthony Mantha-Martin Pospisil,,,
NYR,Jonny Brodzinski,Reilly Smith,0.71,2,10,Jonny Brodzinski-Reilly Smith,,,
TBL,Darren Raddysh,Emil Lilleberg,0.71,5,3,Darren Raddysh-Emil Lilleberg,,,
COL,Artturi Lehkonen,Casey Mittelstadt,0.71,6,16,Artturi Lehkonen-Casey Mittelstadt,0.1,34.0,57.0
