Team,Player A,Player B,Correlation,Total Points A,Total Points B,pair_id
VGK,Pavel Dorofeyev,William Karlsson,0.77,10,6,Pavel Dorofeyev-William Karlsson
VGK,Brayden McNabb,Shea Theodore,0.76,2,10,Brayden McNabb-Shea Theodore
MTL,David Savard,Nick Suzuki,0.76,13,4,David Savard-Nick Suzuki
WPG,Dylan DeMelo,Logan Stanley,0.76,2,3,Dylan DeMelo-Logan Stanley
NYR,Braden Schneider,Kaapo Kakko,0.76,7,5,Braden Schneider-Kaapo Kakko
OTT,Josh Norris,Thomas Chabot,0.76,8,6,Josh Norris-Thomas Chabot
VGK,Ivan Barbashev,Victor Olofsson,0.76,15,3,Ivan Barbashev-Victor Olofsson
WPG,Alex Iafallo,Logan Stanley,0.76,4,3,Alex Iafallo-Logan Stanley
BOS,John Beecher,Mark Kastelic,0.76,6,7,John Beecher-Mark Kastelic
CAR,Andrei Svechnikov,Sean Walker,0.76,1,12,Andrei Svechnikov-Sean Walker
NSH,Alexandre Carrier,Cole Smith,0.76,2,5,Alexandre Carrier-Cole Smith
FLA,Jonah Gadjovich,Sam Bennett,0.76,13,1,Jonah Gadjovich-Sam Bennett
LAK,Tanner Jeannot,Trevor Lewis,0.76,2,5,Tanner Jeannot-Trevor Lewis
OTT,Brady Tkachuk,Thomas Chabot,0.76,16,6,Brady Tkachuk-Thomas Chabot
EDM,Connor McDavid,Leon Draisaitl,0.75,16,10,Connor McDavid-Leon Draisaitl
NYI,Mathew Barzal,Noah Dobson,0.75,5,6,Mathew Barzal-Noah Dobson
FLA,Dmitry Kulikov,Niko Mikkola,0.75,3,6,Dmitry Kulikov-Niko Mikkola
OTT,Claude Giroux,Drake Batherson,0.75,12,11,Claude Giroux-Drake Batherson
VAN,Filip Hronek,Pius Suter,0.75,5,3,Filip Hronek-Pius Suter
VAN,Carson Soucy,Pius Suter,0.75,5,1,Carson Soucy-Pius Suter
STL,Alexandre Texier,Philip Broberg,0.75,3,9,Alexandre Texier-Philip Broberg
PHI,Garnet Hathaway,Scott Laughton,0.75,5,5,Garnet Hathaway-Scott Laughton
VAN,Kiefer Sherwood,Teddy Blueger,0.75,6,7,Kiefer Sherwood-Teddy Blueger
NJD,Jonas Siegenthaler,Nathan Bastian,0.75,5,4,Jonas Siegenthaler-Nathan Bastian
SJS,Fabian Zetterlund,Jake Walman,0.75,10,9,Fabian Zetterlund-Jake Walman
WPG,Mason Appleton,Rasmus Kupari,0.75,10,1,Mason Appleton-Rasmus Kupari
NYR,Adam Edstrom,Braden Schneider,0.75,2,5,Adam Edstrom-Braden Schneider
DET,Ben Chiarot,J.T. Compher,0.75,5,2,Ben Chiarot-J.T. Compher
NSH,Jonathan Marchessault,Zachary L'Heureux,0.75,2,7,Jonathan Marchessault-Zachary L'Heureux
STL,Jake Neighbours,Pierre-Olivier Joseph,0.75,5,1,Jake Neighbours-Pierre-Olivier Joseph
MTL,Jake Evans,Joel Armia,0.75,6,6,Jake Evans-Joel Armia
BOS,Cole Koepke,Nikita Zadorov,0.74,7,4,Cole Koepke-Nikita Zadorov
